G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),sample,region-set,Bayesian Information Criterion,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set
-5.327096752342459,149.00000000003809,-13.965222333497387,757.9999999980414,95.07834879630506,6078.983858150463,,0.015373482121642973,-0.002835438908390282,74.71490333854561,OMD1_PreRT.sortByCoord,mammary_cluster2290_hg38,-821.2110673050302,no,2.81,"(-45.70208459455415, 80.17115354374201)",n.s.,-3.19,"(0.016165086370466437, 0.06285893150311722)",Significantly weaker coverage drop
-5.355118513093983,149.00000000000895,7.157651365956742,757.9999999997873,30.79488635120131,6078.115830111104,,0.008549757312612344,-0.00029637685158042515,31.787317705724007,OMD1_PreRT.sortByCoord,mammary_epithel_cluster2438_hg38,-782.2904912381558,no,0.72,"(-172.21678150366068, 158.56946515003577)",n.s.,-2.74,"(0.0045725096327799, 0.07562286046136754)",n.s.
20.45514400551442,149.99999999962958,-21.945405946666693,757.9999999929871,58.11230390558168,6078.968095524183,,-0.0466664634445545,-0.001381243494413095,59.559458686055905,OMD004-3m.sortByCoord,mammary_cluster2139_hg38,-724.9484487727683,no,2.12,"(-282.6584995059414, 122.80710706872624)",n.s.,-3.6,"(-0.03841500182443668, 0.06053841008316255)",Significantly weaker coverage drop
1.3679507328584142,149.00000000000054,-10.078410778064564,757.9999768950207,90.93264116270474,6078.999999347412,,-0.004325853972647159,-0.0024668636231442954,82.24474173973525,OMD004-3m.sortByCoord,mammary_cluster2239_hg38,-881.2805898390915,no,1.19,"(-25.031036956485266, 118.95856122353376)",n.s.,-3.16,"(0.003589316357633595, 0.05539997409431477)",Significantly weaker coverage drop
-4.617376180138316,149.99999999999957,47.482336356816866,757.000000004429,-83.14249335983786,6078.999815202751,,-0.007286619078955403,-0.0008187220823719822,-40.47048534534576,OMD004-3m.sortByCoord,mammary_hepato_cluster959_hg38,-709.2693820862669,no,-0.07,"(-213.50816338196972, 140.60735125881695)",n.s.,-2.07,"(-0.033402027437089185, 0.1264150994268023)",n.s.
-1.451750124550826,149.0000000000807,-29.018467699388466,757.9999999971136,-5.606741771813416,6078.999994564775,,0.01952764373433868,0.0005255254550811808,-36.566758462379156,OMD004-3m.sortByCoord,mammary_cluster2290_hg38,-849.8252518682061,no,-2.63,"(-45.70208459455415, 80.17115354374201)",n.s.,-2.64,"(0.016165086370466437, 0.06285893150311722)",n.s.
-3.3832294862245167,149.00000000076452,-1.363836449925112,757.0000000003781,15.314728394992228,6078.000264471997,,0.008772012300364281,1.1338014184838063e-05,10.006164654567856,OMD004-3m.sortByCoord,mammary_epithel_cluster2438_hg38,-771.062759346103,no,0.31,"(-172.21678150366068, 158.56946515003577)",n.s.,-2.72,"(0.0045725096327799, 0.07562286046136754)",n.s.
-12.371659457243046,149.00000000000526,-9.750395381894137,757.9999999946025,99.44598440766924,6078.941057079707,,0.031730072628886864,-0.0025467834864302268,75.17920075705607,HV06.sortByCoord,mammary_cluster2239_hg38,-881.222976491082,yes,0.95,"(-25.031036956485266, 118.95856122353376)",N/A,0.21,"(0.003589316357633595, 0.05539997409431477)",N/A
7.568999597740356,149.00000000000006,7.6636640746929725,757.0000000000246,-86.47558671309645,6078.06683584733,,-0.018628572239461426,-6.82966923120748e-05,-69.88654839956408,HN001-BL.sortByCoord,mammary_cluster2139_hg38,-729.7471028331672,no,0.15,"(-282.6584995059414, 122.80710706872624)",n.s.,-1.85,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-2.8731811882419533,149.00000000001882,-1.636466617139625,757.999999996466,50.28763991031497,6078.9879172607,,0.0052539311495632965,-0.0016908895529198615,45.255837057306614,HN001-BL.sortByCoord,mammary_cluster2239_hg38,-936.744287588428,no,-0.06,"(-25.031036956485266, 118.95856122353376)",n.s.,-2.27,"(0.003589316357633595, 0.05539997409431477)",n.s.
-12.506401389913176,149.99999999994748,24.364019229670614,757.9999999977038,3.3410652661542644,6078.5694829879785,,0.020219934504512163,-0.001812892436324962,13.460987940281688,HN001-BL.sortByCoord,mammary_hepato_cluster959_hg38,-715.949722896281,no,0.87,"(-213.50816338196972, 140.60735125881695)",n.s.,-1.01,"(-0.033402027437089185, 0.1264150994268023)",n.s.
-2.278040631675744,149.00000000000446,-11.177744114043696,757.9999999998604,22.91038172799412,6078.999921819156,,0.01047879907858212,-0.0013549736656979564,8.968020478591205,HN001-BL.sortByCoord,mammary_cluster2290_hg38,-851.730711289039,no,-0.4,"(-45.70208459455415, 80.17115354374201)",n.s.,-3.83,"(0.016165086370466437, 0.06285893150311722)",Significantly weaker coverage drop
-7.3813930918073245,149.99999999995654,10.757075555297467,757.9999999963185,-87.04046902218359,6078.054764949378,,0.019683152044528897,0.0019601226933023013,-84.626223557563,HN001-BL.sortByCoord,mammary_epithel_cluster2438_hg38,-799.0793821632291,no,-1.45,"(-172.21678150366068, 158.56946515003577)",n.s.,-1.77,"(0.0045725096327799, 0.07562286046136754)",n.s.
-9.423518841497136,149.00000000035834,-12.903542161974736,757.9999999997623,83.63572318484275,6078.986165743106,,0.026533678664926518,-0.0019471984877623423,59.6159323918177,HV01.sortByCoord,mammary_cluster2239_hg38,-913.2154010461827,yes,0.43,"(-25.031036956485266, 118.95856122353376)",N/A,-0.28,"(0.003589316357633595, 0.05539997409431477)",N/A
-3.9801195882739218,149.00000000000074,-23.518162777804623,757.9999999600543,-175.49257958890237,6078.022779531076,-729.3240002151178,0.03455323545215093,0.0036940896489333092,-203.64166452004875,OMD008-6m.sortByCoord,mammary_cluster2139_hg38,,no,-1.88,"(-282.6584995059414, 122.80710706872624)",n.s.,1.46,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-12.869140735162274,149.00000000000637,1.578852839411638,757.0000000122096,93.43846011434393,6078.000112136261,-886.3453336566338,0.027491583332416858,-0.002347420570290847,80.0363373706455,OMD008-6m.sortByCoord,mammary_cluster2239_hg38,,no,1.11,"(-25.031036956485266, 118.95856122353376)",n.s.,-0.19,"(0.003589316357633595, 0.05539997409431477)",n.s.
-13.030282987058856,149.00000000003868,-34.818928701622106,757.9999999981967,67.8019761770211,6078.988259530343,-827.5425708129376,0.04876404540723079,-0.0007228844948397027,17.507439879485528,OMD008-6m.sortByCoord,mammary_cluster2290_hg38,,no,0.01,"(-45.70208459455415, 80.17115354374201)",n.s.,1.22,"(0.016165086370466437, 0.06285893150311722)",n.s.
4.8787425197207455,149.00000000001032,-19.777782408068248,757.0000000001637,43.84756868392931,6078.129910964398,,-0.005517651066765874,-0.002477646559552304,29.48495333099105,HN003-d8.sortByCoord,mammary_cluster2139_hg38,-734.7271768990039,no,1.66,"(-282.6584995059414, 122.80710706872624)",n.s.,-1.03,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-3.7785801477860756,149.9999999999987,0.9103283170614996,757.999999997613,112.29285832961851,6078.999998880606,,0.002201090397494684,-0.0031139165208446985,108.71806270492836,HN003-d8.sortByCoord,mammary_cluster2239_hg38,-884.0353241754134,no,2.08,"(-25.031036956485266, 118.95856122353376)",n.s.,-2.55,"(0.003589316357633595, 0.05539997409431477)",Significantly weaker coverage drop
-9.191689668559986,149.99999999999991,22.636121458162226,757.9999999982753,-63.71828544134115,6078.282791175238,,0.0167148509621206,-1.998088133721675e-05,-51.43491401643009,HN003-d8.sortByCoord,mammary_hepato_cluster959_hg38,-757.7093649688646,no,-0.26,"(-213.50816338196972, 140.60735125881695)",n.s.,-1.15,"(-0.033402027437089185, 0.1264150994268023)",n.s.
-2.4526673142113142,149.0000000000021,-8.316884867669598,757.9999999981578,16.368863331420346,6078.986539693769,,0.009869952976726416,-0.002251104589983921,5.11881935618945,HN003-d8.sortByCoord,mammary_cluster2290_hg38,-866.8446795234704,no,-0.59,"(-45.70208459455415, 80.17115354374201)",n.s.,-3.91,"(0.016165086370466437, 0.06285893150311722)",Significantly weaker coverage drop
-0.7795089109538849,149.0000000000019,14.247692756196024,757.9999999994175,10.629952206809918,6078.0628947155565,,-0.006109294515168839,-0.0002428265401553521,24.09506135559622,HN003-d8.sortByCoord,mammary_epithel_cluster2438_hg38,-796.5174876885774,no,0.58,"(-172.21678150366068, 158.56946515003577)",n.s.,-4.01,"(0.0045725096327799, 0.07562286046136754)",Significantly weaker coverage drop
7.149675599751875,149.77584891804003,-15.213802269213467,757.9999999902859,-37.28381068705652,6078.025856816375,,-0.008589491381095642,0.00046877095127888376,-44.326567501405655,HV05.sortByCoord,mammary_cluster2139_hg38,-734.4599986914083,yes,0.54,"(-282.6584995059414, 122.80710706872624)",N/A,-1.22,"(-0.03841500182443668, 0.06053841008316255)",N/A
-21.745238290341668,149.9966273181195,12.904991854341144,757.9999999907126,9.65652081524626,6078.000000431106,,0.050409428865639934,-0.0007362304099060858,-2.4805654509372417,HV05.sortByCoord,mammary_cluster2239_hg38,-890.3132905420474,yes,-1.66,"(-25.031036956485266, 118.95856122353376)",N/A,1.96,"(0.003589316357633595, 0.05539997409431477)",N/A
